epoch,hp/train_acc,hp/val_acc,step,train_acc,train_loss,val_acc,val_loss
0,0.27248507738113403,,49,,,,
0,0.4642156958580017,,99,,,,
,,0.47945666313171387,0.0,,,0.47945666313171387,1.1821821928024292
,,,0.0,0.3230971097946167,1.2892651557922363,,
1,0.4461279511451721,,149,,,,
1,0.5833830833435059,,199,,,,
,,0.527725875377655,1.0,,,0.527725875377655,1.006581425666809
,,,1.0,0.5124164819717407,1.0771710872650146,,
2,0.5146031975746155,,249,,,,
2,0.5753968358039856,,299,,,,
,,0.566291093826294,2.0,,,0.566291093826294,0.9439464807510376
,,,2.0,0.5779587030410767,0.9411993622779846,,
3,0.6853496432304382,,349,,,,
3,0.6485821008682251,,399,,,,
,,0.6069948673248291,3.0,,,0.6069948673248291,0.8784283995628357
,,,3.0,0.6261173486709595,0.8548349738121033,,
4,0.6334670186042786,,449,,,,
4,0.7416374087333679,,499,,,,
4,0.6730970144271851,,549,,,,
,,0.6356836557388306,4.0,,,0.6356836557388306,0.882109522819519
,,,4.0,0.6617147922515869,0.7840128540992737,,
5,0.7538976073265076,,599,,,,
5,0.6743428707122803,,649,,,,
,,0.6412709951400757,5.0,,,0.6412709951400757,0.8620568513870239
,,,5.0,0.6917741298675537,0.726643979549408,,
6,0.7345568537712097,,699,,,,
6,0.7573316097259521,,749,,,,
,,0.6341826319694519,6.0,,,0.6341826319694519,0.8752700090408325
,,,6.0,0.7155910730361938,0.6711546778678894,,
7,0.7613843679428101,,799,,,,
7,0.778891921043396,,849,,,,
,,0.6412166953086853,7.0,,,0.6412166953086853,0.8844513297080994
,,,7.0,0.7394657731056213,0.6231281161308289,,
8,0.7709500789642334,,899,,,,
8,0.7533355951309204,,949,,,,
,,0.6552034020423889,8.0,,,0.6552034020423889,0.9464049339294434
,,,8.0,0.7652269005775452,0.5671284198760986,,
9,0.8418817520141602,,999,,,,
9,0.8317362666130066,,1049,,,,
9,0.8397814035415649,,1099,,,,
,,0.6545587778091431,9.0,,,0.6545587778091431,1.0006211996078491
,,,9.0,0.7894697785377502,0.5145871043205261,,
10,0.794481098651886,,1149,,,,
10,0.8194602727890015,,1199,,,,
,,0.6450298428535461,10.0,,,0.6450298428535461,1.0405882596969604
,,,10.0,0.8122419714927673,0.4656464457511902,,
11,0.8573717474937439,,1249,,,,
11,0.8577167987823486,,1299,,,,
,,0.6409976482391357,11.0,,,0.6409976482391357,1.075132131576538
,,,11.0,0.8268129825592041,0.41900718212127686,,
12,0.8642711043357849,,1349,,,,
12,0.8423919081687927,,1399,,,,
,,0.6466670036315918,12.0,,,0.6466670036315918,1.149604082107544
,,,12.0,0.8452063202857971,0.37978115677833557,,
13,0.8726433515548706,,1449,,,,
13,0.8689839839935303,,1499,,,,
13,0.8154621720314026,,1549,,,,
,,0.6335557103157043,13.0,,,0.6335557103157043,1.3309545516967773
,,,13.0,0.8683716058731079,0.3259198069572449,,
