epoch,step,test_loss,train_loss,val_loss
0,4,,,0.046733494848012924
0,4,,0.03925611823797226,
1,9,,,0.04313305765390396
1,9,,0.03800875321030617,
2,14,,,0.046955060213804245
2,14,,0.037882473319768906,
3,19,,,0.04129030928015709
3,19,,0.03741287440061569,
4,24,,,0.04032700136303902
4,24,,0.03771240636706352,
5,29,,,0.038660578429698944
5,29,,0.03792117163538933,
6,34,,,0.04012477770447731
6,34,,0.03702794387936592,
7,39,,,0.038317225873470306
7,39,,0.03722834587097168,
8,44,,,0.038952987641096115
8,44,,0.03711351379752159,
9,49,,,0.03877510875463486
9,49,,0.03667476028203964,
10,54,,,0.03959878161549568
10,54,,0.036596301943063736,
11,59,,,0.03912033885717392
11,59,,0.03641603887081146,
12,64,,,0.04348308593034744
12,64,,0.036801453679800034,
13,69,,,0.03947437182068825
13,69,,0.036387983709573746,
14,74,,,0.038065142929553986
14,74,,0.036499809473752975,
15,79,,,0.038761820644140244
15,79,,0.03634501248598099,
16,84,,,0.03781171515583992
16,84,,0.03584304079413414,
17,89,,,0.03746423497796059
17,89,,0.03576855733990669,
18,94,,,0.04071302339434624
18,94,,0.03579064831137657,
19,99,,,0.04493309557437897
19,99,,0.0361909493803978,
20,104,,,0.0377676747739315
20,104,,0.0357837937772274,
21,109,,,0.03703199326992035
21,109,,0.03529101237654686,
22,114,,,0.037181414663791656
22,114,,0.034955330193042755,
23,119,,,0.03675723448395729
23,119,,0.03517880663275719,
24,124,,,0.036389127373695374
24,124,,0.03492365777492523,
25,129,,,0.03656374663114548
25,129,,0.03569784387946129,
26,134,,,0.03935646265745163
26,134,,0.03489155322313309,
27,139,,,0.03730696812272072
27,139,,0.03513132780790329,
28,144,,,0.03665371611714363
28,144,,0.03499218821525574,
29,149,,,0.036831073462963104
29,149,,0.035984672605991364,
30,154,,,0.03910313546657562
30,154,,0.034594547003507614,
31,159,,,0.036361128091812134
31,159,,0.034528881311416626,
32,164,,,0.03643683344125748
32,164,,0.03442153334617615,
33,169,,,0.036140576004981995
33,169,,0.03445608168840408,
34,174,,,0.03602514788508415
34,174,,0.03425299748778343,
35,179,,,0.03714218735694885
35,179,,0.034800633788108826,
36,184,,,0.04357510805130005
36,184,,0.03445238247513771,
37,189,,,0.03703450784087181
37,189,,0.03438183665275574,
38,194,,,0.03603803738951683
38,194,,0.03473510220646858,
39,199,,,0.03592422232031822
39,199,,0.03436347469687462,
40,204,,,0.04017630219459534
40,204,,0.0341191403567791,
41,209,,,0.03569088131189346
41,209,,0.03485281020402908,
42,214,,,0.03632388636469841
42,214,,0.033912304788827896,
43,219,,,0.03543970361351967
43,219,,0.03401416540145874,
44,224,,,0.03711198270320892
44,224,,0.03431156650185585,
45,229,,,0.03560895472764969
45,229,,0.033636726438999176,
46,234,,,0.035442087799310684
46,234,,0.033996667712926865,
47,239,,,0.04200693592429161
47,239,,0.03438862785696983,
48,244,,,0.03638071566820145
48,244,,0.034120868891477585,
49,249,,,0.036093175411224365
49,249,,0.033414147794246674,
50,250,0.04009038582444191,,
50,250,0.03582454100251198,,
50,250,0.0397338829934597,,
