epoch,hp/train_acc,hp/val_acc,step,train_acc,train_loss,val_acc,val_loss
0,0.25,,49,,,,
0,0.41849595308303833,,99,,,,
,,0.46243560314178467,0.0,,,0.46243560314178467,1.197822093963623
,,,0.0,0.30676689743995667,1.2996853590011597,,
1,0.4955139756202698,,149,,,,
1,0.532618522644043,,199,,,,
,,0.5652759671211243,1.0,,,0.5652759671211243,0.988235592842102
,,,1.0,0.512117326259613,1.0749516487121582,,
2,0.5866413116455078,,249,,,,
2,0.5934915542602539,,299,,,,
,,0.60956209897995,2.0,,,0.60956209897995,0.8755199909210205
,,,2.0,0.5997473001480103,0.9088891744613647,,
3,0.6256142258644104,,349,,,,
3,0.5996590852737427,,399,,,,
,,0.64569091796875,3.0,,,0.64569091796875,0.836362361907959
,,,3.0,0.6507318615913391,0.8034566044807434,,
4,0.6449812054634094,,449,,,,
4,0.7603269815444946,,499,,,,
4,0.6735581159591675,,549,,,,
,,0.6305945515632629,4.0,,,0.6305945515632629,0.8399728536605835
,,,4.0,0.694965124130249,0.7293030023574829,,
5,0.7604601383209229,,599,,,,
5,0.7160818576812744,,649,,,,
,,0.6582697629928589,5.0,,,0.6582697629928589,0.8090211153030396
,,,5.0,0.7263177037239075,0.6631130576133728,,
6,0.7633247375488281,,699,,,,
6,0.7504643797874451,,749,,,,
,,0.6755364537239075,6.0,,,0.6755364537239075,0.7912325263023376
,,,6.0,0.7485427856445312,0.6072611808776855,,
7,0.797263503074646,,799,,,,
7,0.7531981468200684,,849,,,,
,,0.685303807258606,7.0,,,0.685303807258606,0.7601943016052246
,,,7.0,0.7795686721801758,0.5418381690979004,,
8,0.8119047284126282,,899,,,,
8,0.8311303853988647,,949,,,,
,,0.6900762319564819,8.0,,,0.6900762319564819,0.8135890960693359
,,,8.0,0.8031758069992065,0.4825255274772644,,
9,0.8752466440200806,,999,,,,
9,0.8631672859191895,,1049,,,,
9,0.8231910467147827,,1099,,,,
,,0.6860604286193848,9.0,,,0.6860604286193848,0.8690596222877502
,,,9.0,0.8363603353500366,0.4141738712787628,,
10,0.8225446343421936,,1149,,,,
10,0.8220070600509644,,1199,,,,
,,0.6778542995452881,10.0,,,0.6778542995452881,0.9133543372154236
,,,10.0,0.8574656248092651,0.35974058508872986,,
11,0.9222272634506226,,1249,,,,
11,0.878450870513916,,1299,,,,
,,0.6775161027908325,11.0,,,0.6775161027908325,1.0239956378936768
,,,11.0,0.8842281699180603,0.2964726984500885,,
12,0.9478058815002441,,1349,,,,
12,0.894758403301239,,1399,,,,
,,0.6775569915771484,12.0,,,0.6775569915771484,1.0604020357131958
,,,12.0,0.9100568890571594,0.23911619186401367,,
