epoch,hp/train_acc,hp/val_acc,step,train_acc,train_loss,val_acc,val_loss
0,0.25,,49,,,,
0,0.28541120886802673,,99,,,,
,,0.2506338059902191,0.0,,,0.2506338059902191,1.3155648708343506
,,,0.0,0.2532657980918884,1.3466092348098755,,
1,0.26553285121917725,,149,,,,
1,0.29080402851104736,,199,,,,
,,0.3435271382331848,1.0,,,0.3435271382331848,1.2657413482666016
,,,1.0,0.3092088997364044,1.2921526432037354,,
2,0.30164220929145813,,249,,,,
2,0.4735434651374817,,299,,,,
,,0.44720351696014404,2.0,,,0.44720351696014404,1.2200837135314941
,,,2.0,0.4025987684726715,1.2311660051345825,,
3,0.4641626477241516,,349,,,,
3,0.4829595685005188,,399,,,,
,,0.47827038168907166,3.0,,,0.47827038168907166,1.1422128677368164
,,,3.0,0.45276758074760437,1.1651184558868408,,
4,0.5251668691635132,,449,,,,
4,0.4837878942489624,,499,,,,
4,0.4492521286010742,,549,,,,
,,0.4809955954551697,4.0,,,0.4809955954551697,1.100889801979065
,,,4.0,0.49114885926246643,1.1144517660140991,,
5,0.47491157054901123,,599,,,,
5,0.4549609124660492,,649,,,,
,,0.50373774766922,5.0,,,0.50373774766922,1.0804861783981323
,,,5.0,0.5175020694732666,1.0776817798614502,,
6,0.5990033149719238,,699,,,,
6,0.46734777092933655,,749,,,,
,,0.5271106958389282,6.0,,,0.5271106958389282,1.0417464971542358
,,,6.0,0.5304158329963684,1.048614740371704,,
7,0.5327454805374146,,799,,,,
7,0.5232245922088623,,849,,,,
,,0.5547824501991272,7.0,,,0.5547824501991272,1.0285934209823608
,,,7.0,0.5503900647163391,1.0189602375030518,,
8,0.5808150768280029,,899,,,,
8,0.553077757358551,,949,,,,
,,0.5311067700386047,8.0,,,0.5311067700386047,1.0137525796890259
,,,8.0,0.5608763098716736,0.998516321182251,,
9,0.5695000886917114,,999,,,,
9,0.5983216762542725,,1049,,,,
9,0.6320450305938721,,1099,,,,
,,0.5529206991195679,9.0,,,0.5529206991195679,0.9934200644493103
,,,9.0,0.569156289100647,0.9804348349571228,,
10,0.6267942786216736,,1149,,,,
10,0.6078947186470032,,1199,,,,
,,0.5736711621284485,10.0,,,0.5736711621284485,0.9816827774047852
,,,10.0,0.5775616765022278,0.9627249240875244,,
11,0.6137006282806396,,1249,,,,
11,0.5967920422554016,,1299,,,,
,,0.5464603900909424,11.0,,,0.5464603900909424,0.9834272265434265
,,,11.0,0.583771824836731,0.9528667330741882,,
12,0.5474388599395752,,1349,,,,
12,0.6028151512145996,,1399,,,,
,,0.5771220922470093,12.0,,,0.5771220922470093,0.9656595587730408
,,,12.0,0.5918536186218262,0.9377183318138123,,
13,0.614942193031311,,1449,,,,
13,0.5232133865356445,,1499,,,,
13,0.586431622505188,,1549,,,,
,,0.55821692943573,13.0,,,0.55821692943573,0.9633339643478394
,,,13.0,0.5948725342750549,0.9266122579574585,,
14,0.5860003232955933,,1599,,,,
14,0.613882839679718,,1649,,,,
,,0.5927251577377319,14.0,,,0.5927251577377319,0.953591525554657
,,,14.0,0.607554018497467,0.9136191606521606,,
15,0.5246744155883789,,1699,,,,
15,0.5916505455970764,,1749,,,,
,,0.5729759335517883,15.0,,,0.5729759335517883,0.9432381391525269
,,,15.0,0.6109442114830017,0.9044356942176819,,
16,0.6013586521148682,,1799,,,,
16,0.6533852815628052,,1849,,,,
,,0.5982790589332581,16.0,,,0.5982790589332581,0.9302971363067627
,,,16.0,0.6162407994270325,0.8897925019264221,,
17,0.6402079463005066,,1899,,,,
17,0.6326945424079895,,1949,,,,
,,0.5899078845977783,17.0,,,0.5899078845977783,0.9266996383666992
,,,17.0,0.6211843490600586,0.8786275386810303,,
18,0.6219552755355835,,1999,,,,
18,0.6645089387893677,,2049,,,,
18,0.6659451127052307,,2099,,,,
,,0.5898820757865906,18.0,,,0.5898820757865906,0.9222477078437805
,,,18.0,0.6240724325180054,0.8751792907714844,,
19,0.6250195503234863,,2149,,,,
19,0.5831348896026611,,2199,,,,
,,0.6054098606109619,19.0,,,0.6054098606109619,0.911310076713562
,,,19.0,0.6295777559280396,0.8615344762802124,,
20,0.5928571224212646,,2249,,,,
20,0.6883409023284912,,2299,,,,
,,0.6139881610870361,20.0,,,0.6139881610870361,0.9355690479278564
,,,20.0,0.6348394751548767,0.8508720993995667,,
21,0.6116583347320557,,2349,,,,
21,0.6600736975669861,,2399,,,,
,,0.5818649530410767,21.0,,,0.5818649530410767,0.9226453304290771
,,,21.0,0.6379415392875671,0.8462813496589661,,
22,0.6856857538223267,,2449,,,,
22,0.5741841793060303,,2499,,,,
22,0.6240213513374329,,2549,,,,
,,0.5928263664245605,22.0,,,0.5928263664245605,0.9113267660140991
,,,22.0,0.6469775438308716,0.8332263827323914,,
23,0.7107575535774231,,2599,,,,
23,0.6707013249397278,,2649,,,,
,,0.6151728630065918,23.0,,,0.6151728630065918,0.8843278884887695
,,,23.0,0.6518388986587524,0.8228033185005188,,
24,0.6190295219421387,,2699,,,,
24,0.6577882766723633,,2749,,,,
,,0.6083754897117615,24.0,,,0.6083754897117615,0.8855161666870117
,,,24.0,0.6557110548019409,0.8132209181785583,,
25,0.6759730577468872,,2799,,,,
25,0.6169302463531494,,2849,,,,
,,0.6110641956329346,25.0,,,0.6110641956329346,0.8877231478691101
,,,25.0,0.6615679860115051,0.8041337132453918,,
