epoch,hp/train_acc,hp/val_acc,step,train_acc,train_loss,val_acc,val_loss
0,0.28458815813064575,,49,,,,
0,0.4451833963394165,,99,,,,
,,0.4429866671562195,0.0,,,0.4429866671562195,1.1579111814498901
,,,0.0,0.33542588353157043,1.274468183517456,,
1,0.5187647938728333,,149,,,,
1,0.603943407535553,,199,,,,
,,0.5538503527641296,1.0,,,0.5538503527641296,1.0210697650909424
,,,1.0,0.5114957690238953,1.072390079498291,,
2,0.598487913608551,,249,,,,
2,0.5992473363876343,,299,,,,
,,0.5785454511642456,2.0,,,0.5785454511642456,0.9443017244338989
,,,2.0,0.5760824680328369,0.9490835070610046,,
3,0.5857089161872864,,349,,,,
3,0.5330501794815063,,399,,,,
,,0.5948935747146606,3.0,,,0.5948935747146606,0.8969675898551941
,,,3.0,0.6222248673439026,0.8584406971931458,,
4,0.6773560047149658,,449,,,,
4,0.6142182350158691,,499,,,,
4,0.7695279717445374,,549,,,,
,,0.6107807159423828,4.0,,,0.6107807159423828,0.8536627292633057
,,,4.0,0.6579599380493164,0.8026719689369202,,
5,0.7156603932380676,,599,,,,
5,0.6881489753723145,,649,,,,
,,0.6418391466140747,5.0,,,0.6418391466140747,0.8627504706382751
,,,5.0,0.6804485321044922,0.7432007789611816,,
6,0.7081481218338013,,699,,,,
6,0.6297158598899841,,749,,,,
,,0.6634330749511719,6.0,,,0.6634330749511719,0.8248723149299622
,,,6.0,0.7099207639694214,0.6889961361885071,,
7,0.7035589218139648,,799,,,,
7,0.7250896096229553,,849,,,,
,,0.6652645468711853,7.0,,,0.6652645468711853,0.7869752645492554
,,,7.0,0.7370213270187378,0.6374328136444092,,
8,0.7932736873626709,,899,,,,
8,0.879807710647583,,949,,,,
,,0.6662089228630066,8.0,,,0.6662089228630066,0.800715446472168
,,,8.0,0.7592760920524597,0.583322286605835,,
9,0.8037720322608948,,999,,,,
9,0.8516826629638672,,1049,,,,
9,0.7660194039344788,,1099,,,,
,,0.6775937080383301,9.0,,,0.6775937080383301,0.7901849150657654
,,,9.0,0.7863525152206421,0.5235163569450378,,
10,0.7621597051620483,,1149,,,,
10,0.7659351825714111,,1199,,,,
,,0.6651290059089661,10.0,,,0.6651290059089661,0.8458707928657532
,,,10.0,0.8131428360939026,0.466185063123703,,
11,0.9072321057319641,,1249,,,,
11,0.8722552061080933,,1299,,,,
,,0.6724109649658203,11.0,,,0.6724109649658203,0.8861130475997925
,,,11.0,0.8332915902137756,0.4196681082248688,,
12,0.799982488155365,,1349,,,,
12,0.8599368929862976,,1399,,,,
,,0.6769876480102539,12.0,,,0.6769876480102539,0.952853262424469
,,,12.0,0.8589838147163391,0.3586653769016266,,
13,0.8913194537162781,,1449,,,,
13,0.8460595011711121,,1499,,,,
13,0.8759004473686218,,1549,,,,
,,0.6588585376739502,13.0,,,0.6588585376739502,1.004814863204956
,,,13.0,0.8872696161270142,0.30047065019607544,,
14,0.8929693698883057,,1599,,,,
14,0.8869788646697998,,1649,,,,
,,0.6770213842391968,14.0,,,0.6770213842391968,1.0860737562179565
,,,14.0,0.9039766788482666,0.2531718313694,,
