hp/train_acc,hp/val_acc,step,train_acc,train_loss,val_acc,val_loss
,0.4708470404148102,0.0,,,0.4708470404148102,1.134482741355896
0.3283332586288452,,0.0,0.3283332586288452,1.2790189981460571,,
,0.5737079381942749,1.0,,,0.5737079381942749,0.9842110276222229
0.5356841683387756,,1.0,0.5356841683387756,1.0313583612442017,,
,0.5936792492866516,2.0,,,0.5936792492866516,0.9129753708839417
0.599689245223999,,2.0,0.599689245223999,0.9055330753326416,,
,0.6027158498764038,3.0,,,0.6027158498764038,0.8802180886268616
0.6389103531837463,,3.0,0.6389103531837463,0.8259990811347961,,
,0.6492148637771606,4.0,,,0.6492148637771606,0.8061112761497498
0.6733379364013672,,4.0,0.6733379364013672,0.7503869533538818,,
,0.6632879972457886,5.0,,,0.6632879972457886,0.8008933067321777
0.7028695940971375,,5.0,0.7028695940971375,0.6976365447044373,,
,0.66757732629776,6.0,,,0.66757732629776,0.7908637523651123
0.7395243644714355,,6.0,0.7395243644714355,0.6364741325378418,,
,0.6765995621681213,7.0,,,0.6765995621681213,0.7847938537597656
0.7617175579071045,,7.0,0.7617175579071045,0.5743811726570129,,
,0.6820533871650696,8.0,,,0.6820533871650696,0.7793601155281067
0.7905721664428711,,8.0,0.7905721664428711,0.5207822322845459,,
,0.676159679889679,9.0,,,0.676159679889679,0.8443495631217957
0.8091434240341187,,9.0,0.8091434240341187,0.4707125723361969,,
,0.6691108345985413,10.0,,,0.6691108345985413,0.8926382064819336
0.8434807062149048,,10.0,0.8434807062149048,0.3963525891304016,,
,0.6745487451553345,11.0,,,0.6745487451553345,1.011616826057434
0.8720815777778625,,11.0,0.8720815777778625,0.33100011944770813,,
,0.6555765867233276,12.0,,,0.6555765867233276,1.011472225189209
0.8944611549377441,,12.0,0.8944611549377441,0.2779678702354431,,
,0.6657422184944153,13.0,,,0.6657422184944153,1.1366519927978516
0.9137790203094482,,13.0,0.9137790203094482,0.2179969996213913,,
