epoch,step,train_acc,train_loss,val_acc,val_loss
0,39,,,0.4093378186225891,1.6529091596603394
0,39,0.2824000120162964,1.9482883214950562,,
1,79,,,0.41916999220848083,1.577162504196167
1,79,0.4222000241279602,1.563906192779541,,
2,119,,,0.46235519647598267,1.4953492879867554
2,119,0.4596000015735626,1.4614111185073853,,
3,159,,,0.4654136002063751,1.4453736543655396
3,159,0.48719996213912964,1.3842345476150513,,
4,199,,,0.5189064145088196,1.311781406402588
4,199,0.5356000065803528,1.2774829864501953,,
5,239,,,0.505716860294342,1.350376844406128
5,239,0.5627999901771545,1.2077547311782837,,
6,279,,,0.5259314775466919,1.2568483352661133
6,279,0.5771999955177307,1.1471956968307495,,
7,319,,,0.5620614886283875,1.24950110912323
7,319,0.6028000712394714,1.0912214517593384,,
8,359,,,0.5615741610527039,1.2517709732055664
8,359,0.6240000128746033,1.0422476530075073,,
9,399,,,0.5451318025588989,1.260226845741272
9,399,0.6421999335289001,0.9889746904373169,,
10,439,,,0.5720255970954895,1.2118971347808838
10,439,0.6505999565124512,0.9568268656730652,,
11,479,,,0.5452449917793274,1.2776172161102295
11,479,0.6550000309944153,0.957524299621582,,
12,519,,,0.5864435434341431,1.2098599672317505
12,519,0.6779999732971191,0.9061810374259949,,
13,559,,,0.5796006917953491,1.2592401504516602
13,559,0.6970000267028809,0.8548969626426697,,
14,599,,,0.6049468517303467,1.1965539455413818
14,599,0.711199939250946,0.823028028011322,,
15,639,,,0.5907489061355591,1.1898833513259888
15,639,0.7160000205039978,0.8008096814155579,,
16,679,,,0.5983965992927551,1.1579515933990479
16,679,0.7365999817848206,0.7634879350662231,,
17,719,,,0.6066672205924988,1.1984946727752686
17,719,0.7404000163078308,0.7338277101516724,,
18,759,,,0.6009348034858704,1.2099583148956299
18,759,0.7436000108718872,0.7214289307594299,,
19,799,,,0.6088563203811646,1.2035987377166748
19,799,0.7483999729156494,0.6998022198677063,,
20,839,,,0.6038076877593994,1.1983674764633179
20,839,0.7591999769210815,0.6750436425209045,,
21,879,,,0.604417622089386,1.2106250524520874
21,879,0.7783999443054199,0.6146965622901917,,
22,919,,,0.5849658846855164,1.280949354171753
22,919,0.7826000452041626,0.6117052435874939,,
23,959,,,0.6203474402427673,1.2255275249481201
23,959,0.7856000065803528,0.5961271524429321,,
24,999,,,0.6330196857452393,1.1524204015731812
24,999,0.7856000065803528,0.6134472489356995,,
25,1039,,,0.6229551434516907,1.1924580335617065
25,1039,0.8051999807357788,0.5535691380500793,,
26,1079,,,0.6034101247787476,1.2895246744155884
26,1079,0.8149999380111694,0.529374897480011,,
27,1119,,,0.617531955242157,1.2760825157165527
27,1119,0.800599992275238,0.5727352499961853,,
28,1159,,,0.6112700700759888,1.2911710739135742
28,1159,0.8303999900817871,0.48499253392219543,,
29,1199,,,0.6239427328109741,1.297895073890686
29,1199,0.8331999778747559,0.46915504336357117,,
30,1239,,,0.6152673959732056,1.3110045194625854
30,1239,0.8388000130653381,0.465107798576355,,
31,1279,,,0.6289020776748657,1.2835330963134766
31,1279,0.8354000449180603,0.4639192521572113,,
32,1319,,,0.6298955082893372,1.2586040496826172
32,1319,0.8510000705718994,0.4351452589035034,,
33,1359,,,0.6247823238372803,1.3238543272018433
33,1359,0.8550000190734863,0.4265451729297638,,
34,1399,,,0.6092548370361328,1.395857334136963
34,1399,0.8564000129699707,0.40625593066215515,,
35,1439,,,0.6308231949806213,1.3369956016540527
35,1439,0.8490000367164612,0.4328936040401459,,
36,1479,,,0.5772855877876282,1.5212327241897583
36,1479,0.8707999587059021,0.3673410713672638,,
37,1519,,,0.6279236078262329,1.3793829679489136
37,1519,0.863800048828125,0.3858000338077545,,
38,1559,,,0.6270408630371094,1.3966959714889526
38,1559,0.8828000426292419,0.33802172541618347,,
39,1599,,,0.6166524291038513,1.4976606369018555
39,1599,0.8916000127792358,0.325115829706192,,
40,1639,,,0.6129720211029053,1.4811241626739502
40,1639,0.8841999769210815,0.3275831639766693,,
41,1679,,,0.6403660178184509,1.4881447553634644
41,1679,0.8839999437332153,0.32283878326416016,,
42,1719,,,0.6162646412849426,1.5138393640518188
42,1719,0.9053999781608582,0.27582022547721863,,
43,1759,,,0.6248399019241333,1.5795725584030151
43,1759,0.8910000324249268,0.30326589941978455,,
44,1799,,,0.6168426871299744,1.5699880123138428
44,1799,0.8936000466346741,0.30700236558914185,,
45,1839,,,0.63193279504776,1.5633763074874878
45,1839,0.8962000608444214,0.29979732632637024,,
46,1879,,,0.6194742321968079,1.5981463193893433
46,1879,0.9066000580787659,0.2733302712440491,,
47,1919,,,0.6244803667068481,1.6103460788726807
47,1919,0.8923999667167664,0.310901939868927,,
48,1959,,,0.6258749961853027,1.6240904331207275
48,1959,0.9178000688552856,0.23859499394893646,,
49,1999,,,0.6256704330444336,1.7178806066513062
49,1999,0.9183999300003052,0.23168547451496124,,
