epoch,step,test_loss,train_loss,val_loss
0,4,,,0.1649526208639145
0,4,,0.1393377184867859,
1,9,,,0.17886865139007568
1,9,,0.10049687325954437,
2,14,,,0.15845826268196106
2,14,,0.08369460701942444,
3,19,,,0.12270563095808029
3,19,,0.07628608494997025,
4,24,,,0.0951741561293602
4,24,,0.07131578028202057,
5,29,,,0.07759259641170502
5,29,,0.06749977171421051,
6,34,,,0.06899874657392502
6,34,,0.06500694155693054,
7,39,,,0.064602330327034
7,39,,0.061431270092725754,
8,44,,,0.06231951341032982
8,44,,0.059595778584480286,
9,49,,,0.060435209423303604
9,49,,0.05773676931858063,
10,54,,,0.0600932240486145
10,54,,0.05626140907406807,
11,59,,,0.0590919591486454
11,59,,0.0549362376332283,
12,64,,,0.057942379266023636
12,64,,0.05363531410694122,
13,69,,,0.056022316217422485
13,69,,0.0531129315495491,
14,74,,,0.053971268236637115
14,74,,0.0521986186504364,
15,79,,,0.05289343744516373
15,79,,0.050521593540906906,
16,84,,,0.05267665535211563
16,84,,0.05013032257556915,
17,89,,,0.05199817195534706
17,89,,0.0486237034201622,
18,94,,,0.05236838012933731
18,94,,0.04797898232936859,
19,99,,,0.048962514847517014
19,99,,0.047591689974069595,
20,104,,,0.04891529679298401
20,104,,0.04685330018401146,
21,109,,,0.04891785979270935
21,109,,0.04616844654083252,
22,114,,,0.0477263517677784
22,114,,0.045645345002412796,
23,119,,,0.0468691922724247
23,119,,0.04515629634261131,
24,124,,,0.04595018923282623
24,124,,0.044643424451351166,
25,129,,,0.04576311632990837
25,129,,0.04430070519447327,
26,134,,,0.04590604454278946
26,134,,0.04376712441444397,
27,139,,,0.04549739509820938
27,139,,0.043282512575387955,
28,144,,,0.04509783908724785
28,144,,0.04290624335408211,
29,149,,,0.04551684483885765
29,149,,0.042493242770433426,
30,154,,,0.04480402171611786
30,154,,0.04245660454034805,
31,159,,,0.04492926597595215
31,159,,0.042305897921323776,
32,164,,,0.04349428415298462
32,164,,0.04221517965197563,
33,169,,,0.043773964047431946
33,169,,0.0420638769865036,
34,174,,,0.043338414281606674
34,174,,0.041343651711940765,
35,179,,,0.04257605969905853
35,179,,0.04077804088592529,
36,184,,,0.043215587735176086
36,184,,0.04061834141612053,
37,189,,,0.04169346019625664
37,189,,0.04060588404536247,
38,194,,,0.0421590581536293
38,194,,0.04012678563594818,
39,199,,,0.04211513698101044
39,199,,0.04002315551042557,
40,204,,,0.04192875698208809
40,204,,0.039914894849061966,
41,209,,,0.04146731272339821
41,209,,0.039633527398109436,
42,214,,,0.04198672994971275
42,214,,0.039352450519800186,
43,219,,,0.04314858466386795
43,219,,0.039550844579935074,
44,224,,,0.041575782001018524
44,224,,0.0388929508626461,
45,229,,,0.04301530495285988
45,229,,0.03931166231632233,
46,234,,,0.03994470834732056
46,234,,0.039633430540561676,
47,239,,,0.040669359266757965
47,239,,0.03840627148747444,
48,244,,,0.04257512465119362
48,244,,0.03886096924543381,
49,249,,,0.04410967603325844
49,249,,0.038574595004320145,
50,250,23.622900009155273,,
