epoch,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
0,83,,,,,0.4333708584308624,2.017177104949951
0,83,,,0.22907282412052155,2.8383371829986572,,
1,167,,,,,0.7064564824104309,0.942071795463562
1,167,,,0.5770457983016968,1.3745633363723755,,
2,251,,,,,0.8246996998786926,0.5754395723342896
2,251,,,0.7501407861709595,0.7742127180099487,,
3,335,,,,,0.8856981992721558,0.3985230028629303
3,335,,,0.8327233195304871,0.5195031762123108,,
4,419,,,,,0.9215465188026428,0.29154297709465027
4,419,,,0.880865216255188,0.3764898478984833,,
5,503,,,,,0.9401276111602783,0.23954923450946808
5,503,,,0.9005255103111267,0.30994880199432373,,
6,587,,,,,0.9543918967247009,0.18947406113147736
6,587,,,0.9172766804695129,0.2566653788089752,,
7,671,,,,,0.9536411166191101,0.18934039771556854
7,671,,,0.9348254799842834,0.2086912989616394,,
8,755,,,,,0.9536411166191101,0.16723617911338806
8,755,,,0.9425675868988037,0.17817085981369019,,
9,839,,,,,0.9635885953903198,0.14354108273983002
9,839,,,0.9514827132225037,0.15516270697116852,,
10,923,,,,,0.9772897958755493,0.10702269524335861
10,923,,,0.9555180072784424,0.13861128687858582,,
11,1007,,,,,0.9688438177108765,0.12107057869434357
11,1007,,,0.9622278809547424,0.1137898862361908,,
12,1091,,,,,0.9724099040031433,0.10784433037042618
12,1091,,,0.9645739197731018,0.10826098173856735,,
13,1175,,,,,0.9795420169830322,0.08898083865642548
13,1175,,,0.9667792916297913,0.10218824446201324,,
14,1259,,,,,0.9801051020622253,0.08815927058458328
14,1259,,,0.967717707157135,0.09694104641675949,,
15,1343,,,,,0.9857357144355774,0.07236964255571365
15,1343,,,0.9739583134651184,0.08166904002428055,,
16,1427,,,,,0.982357382774353,0.07715371251106262
16,1427,,,0.973629891872406,0.08223537355661392,,
17,1511,,,,,0.9838588833808899,0.07761693745851517
17,1511,,,0.9757413864135742,0.07146963477134705,,
18,1595,,,,,0.985172688961029,0.06896909326314926
18,1595,,,0.9793074131011963,0.06674322485923767,,
19,1679,,,,,0.9787912964820862,0.08474820852279663
19,1679,,,0.9785566926002502,0.06483234465122223,,
20,1763,,,,,0.9829204082489014,0.0678599551320076
20,1763,,,0.9800112843513489,0.0606815479695797,,
21,1847,,,,,0.9870495200157166,0.06436577439308167
21,1847,,,0.9841403961181641,0.04989493265748024,,
22,1931,,,,,0.9857357144355774,0.06939807534217834
22,1931,,,0.9815127849578857,0.05351702496409416,,
23,2015,,,,,0.9887387156486511,0.05307118967175484
23,2015,,,0.9850319027900696,0.04544097185134888,,
24,2099,,,,,0.9887387156486511,0.05479545146226883
24,2099,,,0.9851257801055908,0.04634056240320206,,
25,2183,,,,,0.9883633852005005,0.05533934384584427
25,2183,,,0.9860172867774963,0.04151447117328644,,
26,2267,,,,,0.9870495200157166,0.0617733933031559
26,2267,,,0.9853603839874268,0.04253491014242172,,
27,2351,,,,,0.9889264106750488,0.060618191957473755
27,2351,,,0.9857826828956604,0.03978029638528824,,
28,2435,,,,,0.9872372150421143,0.05841546878218651
28,2435,,,0.9874718189239502,0.03689883276820183,,
29,2519,,,,,0.9891141057014465,0.05708314850926399
29,2519,,,0.9881287813186646,0.03718378022313118,,
30,2603,,,,,0.9893018007278442,0.05364413931965828
30,2603,,,0.9889733195304871,0.03232521936297417,,
31,2687,,,,,0.987424910068512,0.05645785853266716
31,2687,,,0.9856888055801392,0.04114649444818497,,
32,2771,,,,,0.9878003001213074,0.05954568833112717
32,2771,,,0.9896771907806396,0.031930286437273026,,
33,2855,,,,,0.987424910068512,0.059166133403778076
33,2855,,,0.9900994896888733,0.030051913112401962,,
34,2939,,,,,0.9894894957542419,0.05113605037331581
34,2939,,,0.9895833134651184,0.03240075707435608,,
35,3023,,,,,0.9855480194091797,0.06304498016834259
35,3023,,,0.9897240996360779,0.030828962102532387,,
36,3107,,,,,0.9879879951477051,0.05660026893019676
36,3107,,,0.9904279112815857,0.02758518047630787,,
37,3191,,,,,0.9911786913871765,0.05348785221576691
37,3191,,,0.991037905216217,0.02681305818259716,,
38,3275,,,,,0.9904279112815857,0.05399462953209877
38,3275,,,0.9913663864135742,0.027265818789601326,,
39,3359,,,,,0.9915540814399719,0.05259227007627487
39,3359,,,0.9935716986656189,0.018699083477258682,,
40,3443,,,,,0.9915540814399719,0.049191493541002274
40,3443,,,0.9924924969673157,0.022871868684887886,,
41,3527,,,,,0.9889264106750488,0.0571371428668499
41,3527,,,0.9893956184387207,0.030613424256443977,,
42,3611,,,,,0.9881756901741028,0.06053881719708443
42,3611,,,0.9906156063079834,0.026861416175961494,,
43,3695,,,,,0.9879879951477051,0.05753784626722336
43,3695,,,0.9911317825317383,0.026658447459340096,,
44,3779,,,,,0.9913663864135742,0.04609508812427521
44,3779,,,0.9908971190452576,0.027958940714597702,,
45,3863,,,,,0.9913663864135742,0.05384320765733719
45,3863,,,0.9932901859283447,0.021392175927758217,,
46,3947,,,,,0.9908033013343811,0.04983149468898773
46,3947,,,0.9929147958755493,0.022464031353592873,,
47,4031,,,,,0.9911786913871765,0.04750744625926018
47,4031,,,0.993337094783783,0.020583180710673332,,
48,4115,,,,,0.9906156063079834,0.0465572327375412
48,4115,,,0.9937593936920166,0.01859021931886673,,
49,4199,,,,,0.990240216255188,0.05281386896967888
49,4199,,,0.9928678870201111,0.02213011309504509,,
50,4283,,,,,0.9915540814399719,0.04841771721839905
50,4283,,,0.993102490901947,0.022047612816095352,,
51,4367,,,,,0.9911786913871765,0.052111249417066574
51,4367,,,0.991272509098053,0.027130255475640297,,
52,4451,,,,,0.9919294118881226,0.04712803661823273
52,4451,,,0.9926801919937134,0.02198316901922226,,
53,4535,,,,,0.9911786913871765,0.04381336644291878
53,4535,,,0.9928209185600281,0.02001902647316456,,
54,4619,,,,,0.9919294118881226,0.051192376762628555
54,4619,,,0.9948385953903198,0.015517748892307281,,
55,4703,,,,,0.9926801919937134,0.049175925552845
55,4703,,,0.9939939975738525,0.016963424161076546,,
56,4787,,,,,0.9915540814399719,0.044995326548814774
56,4787,,,0.9946039915084839,0.015673020854592323,,
57,4871,,,,,0.9921171069145203,0.04279429465532303
57,4871,,,0.994369387626648,0.015791630372405052,,
58,4955,,,,,0.9913663864135742,0.054446302354335785
58,4955,,,0.9948855042457581,0.01529604010283947,,
59,5039,,,,,0.990240216255188,0.052621010690927505
59,5039,,,0.9954485893249512,0.014336849562823772,,
60,5123,,,,,0.9908033013343811,0.052605655044317245
60,5123,,,0.994087815284729,0.017131486907601357,,
61,5207,,,,,0.9909909963607788,0.05070687457919121
61,5207,,,0.9948855042457581,0.0166935957968235,,
62,5291,,,,,0.9915540814399719,0.044046126306056976
62,5291,,,0.9937124848365784,0.020112747326493263,,
63,5375,,,,,0.9919294118881226,0.050641585141420364
63,5375,,,0.9954954981803894,0.014147436246275902,,
64,5459,,,,,0.9894894957542419,0.0557582825422287
64,5459,,,0.9937124848365784,0.0182056687772274,,
65,5543,,,,,0.9924924969673157,0.04439697787165642
65,5543,,,0.9938063025474548,0.019520025700330734,,
66,5627,,,,,0.9926801919937134,0.040923237800598145
66,5627,,,0.9931493997573853,0.02191583812236786,,
