epoch,step,test_loss,train_loss,val_loss
0,4,,,12.521711349487305
0,4,,11.943857192993164,
1,9,,,10.576236724853516
1,9,,9.817906379699707,
2,14,,,8.92335033416748
2,14,,8.525090217590332,
3,19,,,7.58306360244751
3,19,,7.407729625701904,
4,24,,,6.5216064453125
4,24,,6.741580009460449,
5,29,,,5.763707637786865
5,29,,6.201011657714844,
6,34,,,5.219355583190918
6,34,,5.7664594650268555,
7,39,,,4.906847953796387
7,39,,5.396547794342041,
8,44,,,4.643003463745117
8,44,,5.190938949584961,
9,49,,,4.434187412261963
9,49,,5.0138654708862305,
10,54,,,4.2346367835998535
10,54,,4.737954616546631,
11,59,,,4.081904888153076
11,59,,4.671838283538818,
12,64,,,3.9717822074890137
12,64,,4.350546360015869,
13,69,,,3.861252784729004
13,69,,4.333294868469238,
14,74,,,3.7663285732269287
14,74,,4.139933109283447,
15,79,,,3.721524953842163
15,79,,4.084890842437744,
16,84,,,3.7089436054229736
16,84,,3.9012694358825684,
17,89,,,3.7176191806793213
17,89,,3.7731282711029053,
18,94,,,3.7680420875549316
18,94,,3.8987810611724854,
19,99,,,3.7894132137298584
19,99,,3.8017690181732178,
20,104,,,3.7611751556396484
20,104,,3.7465643882751465,
21,109,,,3.817793130874634
21,109,,3.708979368209839,
22,114,,,3.864354133605957
22,114,,3.561400890350342,
23,119,,,4.040320873260498
23,119,,3.4936418533325195,
24,124,,,3.9909708499908447
24,124,,3.6283154487609863,
25,129,,,3.89408016204834
25,129,,3.578059196472168,
26,134,,,3.793851613998413
26,134,,3.543790817260742,
27,139,,,3.8275389671325684
27,139,,3.5527987480163574,
28,144,,,3.6952710151672363
28,144,,3.481776475906372,
29,149,,,3.858508586883545
29,149,,3.4443154335021973,
30,154,,,3.8040354251861572
30,154,,3.245943784713745,
31,159,,,3.879939556121826
31,159,,3.3966052532196045,
32,164,,,3.7874765396118164
32,164,,3.4183547496795654,
33,169,,,3.7829654216766357
33,169,,3.1565065383911133,
34,174,,,3.6683406829833984
34,174,,3.325424909591675,
35,179,,,3.6210103034973145
35,179,,3.379762649536133,
36,184,,,3.5516300201416016
36,184,,3.312084436416626,
37,189,,,3.6396868228912354
37,189,,3.300379753112793,
38,194,,,3.705948829650879
38,194,,3.278627634048462,
39,199,,,3.5931787490844727
39,199,,3.2940893173217773,
40,204,,,3.4956867694854736
40,204,,3.3158111572265625,
41,209,,,3.4325199127197266
41,209,,3.1863300800323486,
42,214,,,3.5029609203338623
42,214,,3.2378995418548584,
43,219,,,3.6453919410705566
43,219,,3.1932034492492676,
44,224,,,3.6035237312316895
44,224,,3.0927927494049072,
45,229,,,3.5089612007141113
45,229,,3.2276079654693604,
46,234,,,3.4639673233032227
46,234,,3.2613680362701416,
47,239,,,3.4246699810028076
47,239,,3.2801947593688965,
48,244,,,3.3870768547058105
48,244,,3.0231692790985107,
49,249,,,3.39782977104187
49,249,,3.219738483428955,
50,250,3.2477145195007324,,
50,250,3.2831358909606934,,
