epoch,hp/train_acc,hp/val_acc,step,train_acc,train_loss,val_acc,val_loss
0,0.25871458649635315,,49,,,,
0,0.25,,99,,,,
,,0.24987414479255676,0.0,,,0.24987414479255676,1.3261340856552124
,,,0.0,0.252284437417984,1.341640591621399,,
1,0.25,,149,,,,
1,0.31578946113586426,,199,,,,
,,0.30746346712112427,1.0,,,0.30746346712112427,1.3101500272750854
,,,1.0,0.2695029675960541,1.3255703449249268,,
2,0.2750000059604645,,249,,,,
2,0.39097100496292114,,299,,,,
,,0.41785699129104614,2.0,,,0.41785699129104614,1.1752333641052246
,,,2.0,0.3643396496772766,1.240556001663208,,
3,0.5547919273376465,,349,,,,
3,0.5575311183929443,,399,,,,
,,0.5310276746749878,3.0,,,0.5310276746749878,1.0288333892822266
,,,3.0,0.5080047249794006,1.0798797607421875,,
4,0.5971762537956238,,449,,,,
4,0.5231695175170898,,499,,,,
4,0.5338244438171387,,549,,,,
,,0.5752416253089905,4.0,,,0.5752416253089905,0.9725397825241089
,,,4.0,0.5656245946884155,0.9783095717430115,,
5,0.6437065601348877,,599,,,,
5,0.5436447858810425,,649,,,,
,,0.5922520756721497,5.0,,,0.5922520756721497,0.9351812601089478
,,,5.0,0.5956159830093384,0.9186965823173523,,
6,0.6464901566505432,,699,,,,
6,0.5897841453552246,,749,,,,
,,0.6018953323364258,6.0,,,0.6018953323364258,0.9247845411300659
,,,6.0,0.6218526363372803,0.8649169206619263,,
7,0.7345855236053467,,799,,,,
7,0.6149300932884216,,849,,,,
,,0.6162137985229492,7.0,,,0.6162137985229492,0.902204155921936
,,,7.0,0.6393638253211975,0.825092613697052,,
8,0.6969369649887085,,899,,,,
8,0.6605425477027893,,949,,,,
,,0.5767170786857605,8.0,,,0.5767170786857605,0.9710993766784668
,,,8.0,0.658919632434845,0.7935159802436829,,
9,0.6861225366592407,,999,,,,
9,0.7023990154266357,,1049,,,,
9,0.6454601287841797,,1099,,,,
,,0.6162963509559631,9.0,,,0.6162963509559631,0.9166505932807922
,,,9.0,0.6673821210861206,0.7703928351402283,,
10,0.7031086683273315,,1149,,,,
10,0.6498048901557922,,1199,,,,
,,0.5942302346229553,10.0,,,0.5942302346229553,0.9770106077194214
,,,10.0,0.6845517754554749,0.7311006188392639,,
11,0.7114681601524353,,1249,,,,
11,0.6926587820053101,,1299,,,,
,,0.6125123500823975,11.0,,,0.6125123500823975,0.9140926003456116
,,,11.0,0.6928505897521973,0.7165222764015198,,
12,0.6830800771713257,,1349,,,,
12,0.7575745582580566,,1399,,,,
,,0.5802417993545532,12.0,,,0.5802417993545532,1.0034347772598267
,,,12.0,0.7000665068626404,0.7081020474433899,,
