epoch,hp/train_acc,hp/val_acc,step,train_acc,train_loss,val_acc,val_loss
0,0.24384164810180664,,49,,,,
0,0.24390244483947754,,99,,,,
,,0.32575494050979614,0.0,,,0.32575494050979614,1.3023955821990967
,,,0.0,0.27335667610168457,1.329624056816101,,
1,0.3645622730255127,,149,,,,
1,0.458374947309494,,199,,,,
,,0.4431934952735901,1.0,,,0.4431934952735901,1.1493265628814697
,,,1.0,0.40813225507736206,1.2306934595108032,,
2,0.4948139190673828,,249,,,,
2,0.4974868893623352,,299,,,,
,,0.49854353070259094,2.0,,,0.49854353070259094,1.0732829570770264
,,,2.0,0.4981502294540405,1.0907970666885376,,
3,0.49956709146499634,,349,,,,
3,0.5224239230155945,,399,,,,
,,0.5514506697654724,3.0,,,0.5514506697654724,0.9957011342048645
,,,3.0,0.553998589515686,1.0023987293243408,,
4,0.6160171627998352,,449,,,,
4,0.6519502401351929,,499,,,,
4,0.5478553771972656,,549,,,,
,,0.5538813471794128,4.0,,,0.5538813471794128,0.981420636177063
,,,4.0,0.574672281742096,0.961380124092102,,
5,0.5767275094985962,,599,,,,
5,0.6054555177688599,,649,,,,
,,0.6046233177185059,5.0,,,0.6046233177185059,0.9316557049751282
,,,5.0,0.6033656001091003,0.9053586721420288,,
6,0.638347864151001,,699,,,,
6,0.5503472089767456,,749,,,,
,,0.5854580402374268,6.0,,,0.5854580402374268,0.9186333417892456
,,,6.0,0.6215658187866211,0.8655553460121155,,
7,0.6658360958099365,,799,,,,
7,0.6914092898368835,,849,,,,
,,0.5981212258338928,7.0,,,0.5981212258338928,0.9030473232269287
,,,7.0,0.6333392262458801,0.8376412987709045,,
8,0.6586143970489502,,899,,,,
8,0.5708904266357422,,949,,,,
,,0.6215091943740845,8.0,,,0.6215091943740845,0.8944869637489319
,,,8.0,0.6521447896957397,0.8054729700088501,,
9,0.6817448735237122,,999,,,,
9,0.598835825920105,,1049,,,,
9,0.637718915939331,,1099,,,,
,,0.6192811727523804,9.0,,,0.6192811727523804,0.8896077871322632
,,,9.0,0.6599194407463074,0.7844642400741577,,
10,0.6864383220672607,,1149,,,,
10,0.6868765354156494,,1199,,,,
,,0.6218929886817932,10.0,,,0.6218929886817932,0.878968358039856
,,,10.0,0.676313042640686,0.7590554356575012,,
11,0.7437840700149536,,1249,,,,
11,0.6930496692657471,,1299,,,,
,,0.6306652426719666,11.0,,,0.6306652426719666,0.8836966156959534
,,,11.0,0.6823408603668213,0.7416505217552185,,
12,0.6638800501823425,,1349,,,,
12,0.643743634223938,,1399,,,,
,,0.6166194677352905,12.0,,,0.6166194677352905,0.9312745332717896
,,,12.0,0.6958822011947632,0.7144582867622375,,
13,0.6362143754959106,,1449,,,,
13,0.7404565811157227,,1499,,,,
13,0.7426499128341675,,1549,,,,
,,0.6337667107582092,13.0,,,0.6337667107582092,0.9037584066390991
,,,13.0,0.7044183611869812,0.6990929245948792,,
14,0.8035512566566467,,1599,,,,
14,0.7510280609130859,,1649,,,,
,,0.641941487789154,14.0,,,0.641941487789154,0.9070735573768616
,,,14.0,0.7200326323509216,0.6615018248558044,,
15,0.680853009223938,,1699,,,,
15,0.7659631967544556,,1749,,,,
,,0.6268768906593323,15.0,,,0.6268768906593323,0.9265468716621399
,,,15.0,0.7318663597106934,0.6446059942245483,,
16,0.7782828211784363,,1799,,,,
16,0.6720829010009766,,1849,,,,
,,0.6195345520973206,16.0,,,0.6195345520973206,0.9354852437973022
,,,16.0,0.7392765283584595,0.623026430606842,,
17,0.7353485822677612,,1899,,,,
17,0.8271104097366333,,1949,,,,
,,0.609245777130127,17.0,,,0.609245777130127,0.9431446194648743
,,,17.0,0.7419695854187012,0.6137638688087463,,
18,0.6681181192398071,,1999,,,,
18,0.7808945178985596,,2049,,,,
18,0.7084391713142395,,2099,,,,
,,0.6280378699302673,18.0,,,0.6280378699302673,0.9533462524414062
,,,18.0,0.7493510842323303,0.6045291423797607,,
19,0.7580718994140625,,2149,,,,
19,0.687375545501709,,2199,,,,
,,0.6058056950569153,19.0,,,0.6058056950569153,1.0848904848098755
,,,19.0,0.7567858099937439,0.5795074701309204,,
