epoch,hp/train_acc,hp/val_acc,step,train_acc,train_loss,val_acc,val_loss
0,0.25,,49,,,,
0,0.24626359343528748,,99,,,,
,,0.2858878970146179,0.0,,,0.2858878970146179,1.3088109493255615
,,,0.0,0.2508450448513031,1.3442199230194092,,
1,0.2906458079814911,,149,,,,
1,0.35511383414268494,,199,,,,
,,0.3039443790912628,1.0,,,0.3039443790912628,1.2793549299240112
,,,1.0,0.3014848232269287,1.2961808443069458,,
2,0.2848527729511261,,249,,,,
2,0.3867369592189789,,299,,,,
,,0.40830934047698975,2.0,,,0.40830934047698975,1.2208374738693237
,,,2.0,0.37063664197921753,1.2504907846450806,,
3,0.4001232087612152,,349,,,,
3,0.48596712946891785,,399,,,,
,,0.4457709789276123,3.0,,,0.4457709789276123,1.1508680582046509
,,,3.0,0.45521846413612366,1.1734039783477783,,
4,0.479397714138031,,449,,,,
4,0.4235815703868866,,499,,,,
4,0.5011948943138123,,549,,,,
,,0.5120726227760315,4.0,,,0.5120726227760315,1.1181355714797974
,,,4.0,0.49094724655151367,1.1220319271087646,,
5,0.5663283467292786,,599,,,,
5,0.551856279373169,,649,,,,
,,0.5214940905570984,5.0,,,0.5214940905570984,1.076985239982605
,,,5.0,0.5124689340591431,1.0858395099639893,,
6,0.5290893912315369,,699,,,,
6,0.4965698719024658,,749,,,,
,,0.5249496102333069,6.0,,,0.5249496102333069,1.0568338632583618
,,,6.0,0.5279434323310852,1.0578057765960693,,
7,0.5033247470855713,,799,,,,
7,0.5199709534645081,,849,,,,
,,0.5376711487770081,7.0,,,0.5376711487770081,1.048073410987854
,,,7.0,0.534037172794342,1.0409859418869019,,
8,0.5478142499923706,,899,,,,
8,0.5228104591369629,,949,,,,
,,0.512940526008606,8.0,,,0.512940526008606,1.0412522554397583
,,,8.0,0.5503444671630859,1.025482177734375,,
9,0.5417736768722534,,999,,,,
9,0.5287812352180481,,1049,,,,
9,0.5220943093299866,,1099,,,,
,,0.5505437850952148,9.0,,,0.5505437850952148,1.0185623168945312
,,,9.0,0.5583659410476685,1.0092734098434448,,
10,0.6211624145507812,,1149,,,,
10,0.580708384513855,,1199,,,,
,,0.5161571502685547,10.0,,,0.5161571502685547,1.0300545692443848
,,,10.0,0.5641177892684937,0.9931302666664124,,
11,0.5654470920562744,,1249,,,,
11,0.5911734700202942,,1299,,,,
,,0.5434656739234924,11.0,,,0.5434656739234924,1.0031545162200928
,,,11.0,0.5715914964675903,0.9865700006484985,,
12,0.5527763962745667,,1349,,,,
12,0.5454545617103577,,1399,,,,
,,0.5573526620864868,12.0,,,0.5573526620864868,0.9902359843254089
,,,12.0,0.5757575631141663,0.9731343388557434,,
13,0.5928896069526672,,1449,,,,
13,0.6250793933868408,,1499,,,,
13,0.5914101600646973,,1549,,,,
,,0.5641194581985474,13.0,,,0.5641194581985474,0.9882796406745911
,,,13.0,0.5845360159873962,0.9610855579376221,,
14,0.627212405204773,,1599,,,,
14,0.61939936876297,,1649,,,,
,,0.5613104104995728,14.0,,,0.5613104104995728,0.9724575877189636
,,,14.0,0.5866249203681946,0.9492671489715576,,
15,0.5684782266616821,,1699,,,,
15,0.5954191088676453,,1749,,,,
,,0.5805220603942871,15.0,,,0.5805220603942871,0.9845965504646301
,,,15.0,0.5893774628639221,0.9418327808380127,,
16,0.5609389543533325,,1799,,,,
16,0.575156569480896,,1849,,,,
,,0.5671674013137817,16.0,,,0.5671674013137817,0.9723439812660217
,,,16.0,0.5998675227165222,0.932035505771637,,
17,0.6552378535270691,,1899,,,,
17,0.5572148561477661,,1949,,,,
,,0.5757764577865601,17.0,,,0.5757764577865601,0.9535605311393738
,,,17.0,0.603848397731781,0.9211333990097046,,
18,0.6435968279838562,,1999,,,,
18,0.6489313244819641,,2049,,,,
18,0.6721326112747192,,2099,,,,
,,0.5609298944473267,18.0,,,0.5609298944473267,0.9565945863723755
,,,18.0,0.607373058795929,0.9123826622962952,,
19,0.6599336862564087,,2149,,,,
19,0.619170606136322,,2199,,,,
,,0.5710977911949158,19.0,,,0.5710977911949158,0.9429644346237183
,,,19.0,0.6096534729003906,0.904087483882904,,
20,0.5538169145584106,,2249,,,,
20,0.6118811368942261,,2299,,,,
,,0.5775871276855469,20.0,,,0.5775871276855469,0.9432838559150696
,,,20.0,0.6122030019760132,0.8961977958679199,,
